"Опять навальнята заныли, плохо им! Да посмотрите из какой дыры гарант Конституции страну вытащил! Заводы и фабрики работают на полную мощность, колхозы и совхозы полностью обеспечивают потребности населения в продуктах питания и импортные продукты практически не закупаются, создано по указанию президента 20 млн. высокотехнологичных рабочих мест и везде требуются специалисты, самые низкие в мире налоги и самые большие в Европе зарплаты, бензин и дизтопливо стоят вообще копейки, пенсионеры получают очень большую пенсию и как и говорил Силуанов стали путешествовать по миру и ездить на дорогие курорты, ведь они заслужили это своим честным трудом.  И не лазают по помойкам у Пятерочек и Дикси, чтобы найти просрочку и дотянуть до следующей пенсии. Громадные детские пособия стимулируют рождаемость, смешные цены за ЖКХ и проезд, мизерные цены на одежду и продукты, полностью доступные и бесплатные образование и медицина. Опять же забота о ветеранах! Сейчас их будут на полиграфе проверять на предмет сотрудничества с фашистами, да и по 75000 им гарант обещал к прошлому дню Победы.Пока правда не дал, но всему своё время.  Высочайшее качество продуктов и товаров народного потребления, самая большая в мире продолжительность жизни. Лучшие в мире дороги и в каждой деревне в каждом доме газ и горячая вода.... Опять же валежник разрешили в лесах бесплатно собирать. Ан нет, либерахам и агентам Навального все мало, все плохо. Работать идите, а не нойте.",0.0
пруфы для ваты,1.0
"Я абсолютно нихуя не понял, но поддерживаю срачи либерах. Даже если эти срачи возникли на ровном месте",0.0
"Сука, что тут происходит??))",1.0
,0.0
"Деградат в залившем. Кто все эти люди сука? я там кроме каца и анального никого не знаю, а ну лошадь еще.... и что вообще у них там происходит?",1.0
"Молчаааать! Что за хуйня у вас тут на гланге?Я сюда преисполняться прихожу, а не Дом-2 почитать.",1.0
Это на албанском?,0.0
Бляди пук  пук Уебаны пук пукДегенераты пук пукКакая интересная беседа,1.0
Жаба vs ГадюкаПрелюдия,1.0
Лучше бы пенсионерам раздали,0.0
Прецедент,0.0
Здольников - это кто вообще? Кац и Навальный хотя бы на слуху.,0.0
Одмену стало обидно что в сортах говна он один разбирается?Как глубоко окунулся,0.0
">Одному человеку написали левые люди с предложением, от которого он ВНЕЗАПНО отказался>Выложил переписку>Другой человек просто репостнулКазалось бы, тут пора сказать ""ок"" и не обращать внимания>ВНЕЗАПНО появляется человек, который утверждает, что это всё - наёбка и его рук дело>Человека справедливо называют дегенератом за то, что обманул людейДеградат только в недопранкере и нахрена тут вообще кому-то что-то проверят?",0.0
Блэт автор ну ты историю событий что ли лучше иллюстрируй,0.0
Моча борется с говном? Я нихуя нипонел,1.0
"Впрочем, по лицу этого существа видно, что пруфы он не чекает.",1.0
"Нихуя не понятно, да и не интересно в принципе",0.0
Нихуя не  понятно. Но выглядит так: Гейские геи выясняют между друг другом кто из них самый гейский гей.,1.0
Суть полилога в одной картинке:,0.0
"Не, не для ваты, для совков",1.0
"Короче, как я понял, кому то предложили поесть говно за деньги, а тот даже, кому предлагали, не проверил, настоящий ли человек пишет? Кек",0.0
"нихуя не понятно, какие то пидарские разборки походу)",1.0
"Кто все эти люди и почему они там все такие, и почему нам не похуй? А, ну да, твитор. Там все долбоёбы.",1.0
"Я нихуя не понял, но виноват Путин или Пригожин?",1.0
Кто все эти буквы?,0.0
Вы не рефлексируйте - распространяйте!,0.0
"Аналогично, нихрена не понятно😄",0.0
"Я нихуя не понял,на всякий случай в залившем",0.0
